time	p	height	baseradius	curvatureRadius	strain	tension	SourceFile
121.58	200	38.745742	45.3878692	45.9571943885714	0.728732897085069	4595.71943885714	2021_02_17__12_33_03_D1_CPE.dat
122.64	200	35.978189	45.6646245	46.9685677403846	0.620752984389348	4696.85677403846	2021_02_17__12_33_03_D1_CPE.dat
123.7	200	38.745742	45.6646245	46.2823818660714	0.719926538108356	4628.23818660714	2021_02_17__12_33_03_D1_CPE.dat
124.76	200	38.745742	45.9413798	46.6095461671429	0.711278850341124	4660.95461671429	2021_02_17__12_33_03_D1_CPE.dat
125.82	200	38.745742	45.9413798	46.6095461671429	0.711278850341124	4660.95461671429	2021_02_17__12_33_03_D1_CPE.dat
126.88	200	35.978189	45.9413798	47.3208985261538	0.613296559732908	4732.08985261539	2021_02_17__12_33_03_D1_CPE.dat
127.94	200	41.513295	45.9413798	46.1775443226667	0.8165190884018	4617.75443226667	2021_02_17__12_33_03_D1_CPE.dat
129	200	38.745742	46.2181351	46.9386872917857	0.702786044677113	4693.86872917857	2021_02_17__12_33_03_D1_CPE.dat
130.06	200	36.5316996	46.2181351	47.5023216246212	0.624762451145613	4750.23216246212	2021_02_17__12_33_03_D1_CPE.dat
131.12	200	41.513295	46.2181351	46.4847427056667	0.806769694144645	4648.47427056667	2021_02_17__12_33_03_D1_CPE.dat
132.18	200	40.9597844	46.2181351	46.5556643679054	0.785399261357524	4655.56643679054	2021_02_17__12_33_03_D1_CPE.dat
133.24	200	41.513295	46.2181351	46.4847427056667	0.806769694144645	4648.47427056667	2021_02_17__12_33_03_D1_CPE.dat
134.3	200	41.513295	46.2181351	46.4847427056667	0.806769694144645	4648.47427056667	2021_02_17__12_33_03_D1_CPE.dat
135.36	200	41.513295	46.2181351	46.4847427056667	0.806769694144645	4648.47427056667	2021_02_17__12_33_03_D1_CPE.dat
136.42	200	42.0668056	46.4948904	46.7279474947368	0.81859410430839	4672.79474947368	2021_02_17__12_33_03_D1_CPE.dat
137.48	200	39.2992526	46.4948904	47.1536459732394	0.714427437641723	4715.36459732394	2021_02_17__12_33_03_D1_CPE.dat
138.54	200	40.9597844	46.4948904	46.8688840486486	0.776077097505669	4686.88840486486	2021_02_17__12_33_03_D1_CPE.dat
139.6	200	39.2992526	46.4948904	47.1536459732394	0.714427437641723	4715.36459732394	2021_02_17__12_33_03_D1_CPE.dat
140.66	200	36.5316996	46.4948904	47.8535073272727	0.61734693877551	4785.35073272727	2021_02_17__12_33_03_D1_CPE.dat
141.72	200	35.978189	46.4948904	48.0319467584615	0.598781179138322	4803.19467584615	2021_02_17__12_33_03_D1_CPE.dat
142.78	200	39.2992526	46.7716457	47.4820492693662	0.705997689156542	4748.20492693662	2021_02_17__12_33_03_D1_CPE.dat
143.84	200	44.280848	46.7716457	46.8416993853125	0.896327159413186	4684.16993853125	2021_02_17__12_33_03_D1_CPE.dat
144.9	200	41.513295	46.7716457	47.1046745776667	0.787787542452995	4710.46745776667	2021_02_17__12_33_03_D1_CPE.dat
145.96	200	42.0668056	46.7716457	47.0347453108553	0.8089352613704	4703.47453108553	2021_02_17__12_33_03_D1_CPE.dat
147.02	200	41.513295	46.7716457	47.1046745776667	0.787787542452995	4710.46745776667	2021_02_17__12_33_03_D1_CPE.dat
148.08	200	41.513295	46.7716457	47.1046745776667	0.787787542452995	4710.46745776667	2021_02_17__12_33_03_D1_CPE.dat
149.14	200	42.0668056	46.7716457	47.0347453108553	0.8089352613704	4703.47453108553	2021_02_17__12_33_03_D1_CPE.dat
150.2	200	47.048401	47.048401	47.048401	1	4704.8401	2021_02_17__12_33_03_D1_CPE.dat
151.26	200	35.978189	47.3251563	49.1144857588462	0.577955610273247	4911.44857588461	2021_02_17__12_33_03_D1_CPE.dat
152.32	200	39.2992526	47.3251563	48.1447028045775	0.689579699736671	4814.47028045775	2021_02_17__12_33_03_D1_CPE.dat
153.38	200	41.513295	47.3251563	47.731986591	0.769467528470299	4773.1986591	2021_02_17__12_33_03_D1_CPE.dat
154.44	200	44.280848	47.3251563	47.4298043978125	0.875483054615095	4742.98043978125	2021_02_17__12_33_03_D1_CPE.dat
155.5	200	44.8343586	47.3251563	47.394345125	0.897506925207756	4739.4345125	2021_02_17__12_33_03_D1_CPE.dat
156.56	200	42.6203162	47.3251563	47.5848390327922	0.811052973564516	4758.48390327922	2021_02_17__12_33_03_D1_CPE.dat
157.62	200	42.0668056	47.6019116	47.9660633105263	0.780962682531098	4796.60633105263	2021_02_17__12_33_03_D1_CPE.dat
158.68	200	42.0668056	47.6019116	47.9660633105263	0.780962682531098	4796.60633105263	2021_02_17__12_33_03_D1_CPE.dat
159.74	200	47.048401	47.6019116	47.6051675447059	0.976879394267172	4760.51675447059	2021_02_17__12_33_03_D1_CPE.dat
160.8	200	44.8343586	47.6019116	47.6873299024691	0.887101135749054	4768.73299024691	2021_02_17__12_33_03_D1_CPE.dat
161.86	200	41.513295	47.6019116	48.0484101506667	0.760546241211466	4804.84101506667	2021_02_17__12_33_03_D1_CPE.dat
162.92	200	44.8343586	47.6019116	47.6873299024691	0.887101135749054	4768.73299024691	2021_02_17__12_33_03_D1_CPE.dat
163.98	200	38.745742	47.8786669	48.9550473346429	0.654883223629256	4895.50473346429	2021_02_17__12_33_03_D1_CPE.dat
165.04	200	47.048401	47.8786669	47.8859927755882	0.965618630759464	4788.59927755882	2021_02_17__12_33_03_D1_CPE.dat
166.1	200	39.2992526	47.8786669	48.8151522637324	0.673727822513281	4881.51522637324	2021_02_17__12_33_03_D1_CPE.dat
167.16	200	42.0668056	47.8786669	48.2801441608553	0.77196030605767	4828.01441608553	2021_02_17__12_33_03_D1_CPE.dat
168.22	200	44.280848	47.8786669	48.0248282928125	0.855357679842293	4802.48282928125	2021_02_17__12_33_03_D1_CPE.dat
169.28	200	44.280848	47.8786669	48.0248282928125	0.855357679842293	4802.48282928125	2021_02_17__12_33_03_D1_CPE.dat
170.34	200	47.6019116	47.8786669	47.8794714212209	0.98847271876775	4787.94714212209	2021_02_17__12_33_03_D1_CPE.dat
171.4	200	44.280848	48.1554222	48.32493482125	0.845554234377064	4832.493482125	2021_02_17__12_33_03_D1_CPE.dat
172.46	200	47.048401	48.1554222	48.1684459788235	0.954551459902233	4816.84459788235	2021_02_17__12_33_03_D1_CPE.dat
173.52	200	42.0668056	48.1554222	48.5960457697368	0.763112696525301	4859.60457697368	2021_02_17__12_33_03_D1_CPE.dat
174.58	200	47.6019116	48.1554222	48.1586402848837	0.977143612101995	4815.86402848837	2021_02_17__12_33_03_D1_CPE.dat
175.64	200	47.048401	48.1554222	48.1684459788235	0.954551459902233	4816.84459788235	2021_02_17__12_33_03_D1_CPE.dat
176.7	200	41.513295	48.1554222	48.686792376	0.743162901307967	4868.6792376	2021_02_17__12_33_03_D1_CPE.dat
177.76	200	44.8343586	48.4321775	48.5765344311728	0.85694693877551	4857.65344311728	2021_02_17__12_33_03_D1_CPE.dat
178.82	200	42.0668056	48.7089328	49.2333112631579	0.745867768595041	4923.33112631579	2021_02_17__12_33_03_D1_CPE.dat
179.88	200	47.6019116	48.7089328	48.7218051395349	0.955061983471074	4872.18051395349	2021_02_17__12_33_03_D1_CPE.dat
180.94	200	49.815954	48.7089328	48.7212330355556	1.04597107438017	4872.12330355556	2021_02_17__12_33_03_D1_CPE.dat
182	200	44.280848	48.7089328	48.93033704	0.826446280991736	4893.033704	2021_02_17__12_33_03_D1_CPE.dat
183.06	200	47.048401	48.7089328	48.7382363023529	0.932980371900826	4873.82363023529	2021_02_17__12_33_03_D1_CPE.dat
184.12	200	47.6019116	48.7089328	48.7218051395349	0.955061983471074	4872.18051395349	2021_02_17__12_33_03_D1_CPE.dat
185.18	200	47.048401	48.9856881	49.0255734226471	0.922468000893741	4902.55734226471	2021_02_17__12_33_03_D1_CPE.dat
186.24	200	44.8343586	48.9856881	49.1778792805556	0.837690318873887	4917.78792805556	2021_02_17__12_33_03_D1_CPE.dat
187.3	200	49.815954	48.9856881	48.9926069825	1.03418557885665	4899.26069825	2021_02_17__12_33_03_D1_CPE.dat
188.36	200	47.6019116	48.9856881	49.0058011305233	0.944300807558492	4900.58011305233	2021_02_17__12_33_03_D1_CPE.dat
189.42	200	44.280848	48.9856881	49.2356327303125	0.817134284528711	4923.56327303125	2021_02_17__12_33_03_D1_CPE.dat
190.48	200	47.048401	48.9856881	49.0255734226471	0.922468000893741	4902.55734226471	2021_02_17__12_33_03_D1_CPE.dat
191.54	200	47.048401	48.9856881	49.0255734226471	0.922468000893741	4902.55734226471	2021_02_17__12_33_03_D1_CPE.dat
192.6	200	47.6019116	49.2624434	49.2914061639535	0.933720489837142	4929.14061639535	2021_02_17__12_33_03_D1_CPE.dat
193.66	200	49.815954	49.2624434	49.2655184588889	1.02259815679838	4926.55184588889	2021_02_17__12_33_03_D1_CPE.dat
194.72	200	44.8343586	49.2624434	49.481114254321	0.828304507006691	4948.1114254321	2021_02_17__12_33_03_D1_CPE.dat
195.78	200	49.815954	49.2624434	49.2655184588889	1.02259815679838	4926.55184588889	2021_02_17__12_33_03_D1_CPE.dat
196.84	200	47.6019116	49.2624434	49.2914061639535	0.933720489837142	4929.14061639535	2021_02_17__12_33_03_D1_CPE.dat
197.9	200	49.815954	49.2624434	49.2655184588889	1.02259815679838	4926.55184588889	2021_02_17__12_33_03_D1_CPE.dat
198.96	200	47.6019116	49.2624434	49.2914061639535	0.933720489837142	4929.14061639535	2021_02_17__12_33_03_D1_CPE.dat
200.02	200	50.3694646	49.5391987	49.5460415508242	1.03380044318217	4954.60415508242	2021_02_17__12_33_03_D1_CPE.dat
201.08	200	50.3694646	49.5391987	49.5460415508242	1.03380044318217	4954.60415508242	2021_02_17__12_33_03_D1_CPE.dat
202.14	200	47.048401	49.5391987	49.6051315802941	0.901969351768047	4960.51315802941	2021_02_17__12_33_03_D1_CPE.dat
203.2	200	49.2624434	49.5391987	49.5399761025281	0.98885802565463	4953.99761025281	2021_02_17__12_33_03_D1_CPE.dat
204.26	200	52.583507	49.5391987	49.6273234139474	1.12668143940576	4962.73234139474	2021_02_17__12_33_03_D1_CPE.dat
205.32	200	44.8343586	49.815954	50.0927093	0.81	5009.27093	2021_02_17__12_33_03_D1_CPE.dat
206.38	200	53.1370176	50.0927093	50.1799160481771	1.12524037727786	5017.99160481771	2021_02_17__12_33_03_D1_CPE.dat
207.44	200	47.6019116	50.0927093	50.1578755188954	0.9030249381887	5015.78755188954	2021_02_17__12_33_03_D1_CPE.dat
208.5	200	49.815954	50.0927093	50.0934780647222	0.98898080034187	5009.34780647222	2021_02_17__12_33_03_D1_CPE.dat
209.56	200	49.815954	50.0927093	50.0934780647222	0.98898080034187	5009.34780647222	2021_02_17__12_33_03_D1_CPE.dat
210.62	200	47.6019116	50.0927093	50.1578755188954	0.9030249381887	5015.78755188954	2021_02_17__12_33_03_D1_CPE.dat
211.68	200	52.583507	50.0927093	50.1517018771053	1.10191996581301	5015.17018771053	2021_02_17__12_33_03_D1_CPE.dat
212.74	200	50.3694646	50.0927093	50.0934696167582	1.01108024785568	5009.34696167582	2021_02_17__12_33_03_D1_CPE.dat
